epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.0812129,0.0577697,0,0,2652,1017,1512,0.677137,0.722816,0.636888,0.679236,0.243187,0.0289806,0.015059,0,0,0.00333036,0.00333036,0.0700268,0.282893,0.307494,0.210036,0.206275,0.271973,0.393646,0.335028,0.506328,0.727617,0.996564
1,0.0562295,0.0220936,0,0,2793,1292,1371,0.677146,0.683708,0.670709,0.697495,0.230339,0.0280265,0.0135632,0,0,0.00665958,0.00665958,0.0400227,0.138673,0.15173,0.103673,0.0073317,0.205838,0.391245,0.288472,0.355266,0.592201,0.995876
2,0.0499121,0.0198566,0,0,2849,810,1315,0.728331,0.77855,0.684198,0.751903,0.296643,0.0269221,0.0130987,0,0,0.00997238,0.00997238,0.0100021,0.111856,0.126945,0.0796572,0.00205658,0.144037,0.410828,0.230768,0.315814,0.564907,0.988316
3,0.0441186,0.0181556,0,0,2842,756,1322,0.732318,0.789958,0.682517,0.756669,0.318912,0.0260291,0.0135566,0,0,0.0099446,0.0099446,0.0099446,0.094855,0.0937829,0.0920932,0.000224981,0.144015,0.402326,0.219413,0.335607,0.574546,0.991059
4,0.0402458,0.0170583,0,0,2923,939,1241,0.728389,0.756864,0.701979,0.752607,0.299459,0.0263641,0.0131535,0,0,0.0099446,0.0099446,0.0099446,0.117915,0.131448,0.089815,0.00900549,0.160489,0.433051,0.242008,0.360226,0.588252,0.988316
5,0.0378623,0.0163768,0,0,2984,875,1180,0.743912,0.773276,0.716696,0.756175,0.319988,0.0260316,0.0134083,0,0,0.00990166,0.00990166,0.00990166,0.0923385,0.0962541,0.0825732,0.000669241,0.125783,0.339631,0.191157,0.30031,0.548439,0.978694
6,0.0366316,0.0158749,0,0,2886,731,1278,0.741764,0.7978,0.693084,0.753182,0.330446,0.0253677,0.0143929,0,0,0.00984667,0.00984667,0.00984667,0.0960858,0.0966986,0.0938793,0.0168938,0.136045,0.400572,0.214147,0.337586,0.57947,0.976632
7,0.0353379,0.0154405,0,0,2857,715,1307,0.738555,0.799808,0.686016,0.750155,0.325677,0.0258099,0.0141438,0,0,0.00977975,0.00977975,0.00977975,0.0880563,0.0922379,0.0825268,0.00112692,0.131126,0.41854,0.218861,0.326158,0.563927,0.983505
8,0.0340918,0.0149462,0,0,2932,845,1232,0.738442,0.776276,0.704125,0.749817,0.327603,0.0258224,0.0140488,0,0,0.00970111,0.00970111,0.00970111,0.0804691,0.0783502,0.0861793,0.000610318,0.116939,0.375796,0.196822,0.316489,0.569235,0.980069
9,0.0332946,0.014577,0,0,2930,792,1234,0.74309,0.787212,0.70365,0.738688,0.309486,0.0262703,0.0149494,0,0,0.00961095,0.00961095,0.00961095,0.10179,0.100285,0.10183,0.0130259,0.146829,0.400025,0.221917,0.320212,0.598991,0.979381
10,0.0326519,0.0144533,0,0,2954,857,1210,0.740812,0.775119,0.709414,0.750644,0.334296,0.0256893,0.0145345,0,0,0.00950953,0.00950953,0.00950953,0.0911074,0.090974,0.0927196,0.00600883,0.133808,0.400858,0.212405,0.334856,0.58927,0.97732
11,0.0318299,0.0140987,0,0,2963,972,1201,0.731734,0.753068,0.711575,0.729347,0.3219,0.0259601,0.0155065,0,0,0.00939711,0.00939711,0.00939711,0.110734,0.120059,0.0970639,0.00120842,0.141438,0.410768,0.217879,0.361126,0.614238,0.968385
12,0.0312339,0.0138729,0,0,2959,908,1205,0.73688,0.765187,0.710593,0.739462,0.317028,0.0258726,0.015318,0,0,0.00927402,0.00927402,0.00927402,0.0993916,0.0997593,0.0975734,0.0237893,0.134648,0.402307,0.215532,0.317446,0.567185,0.969759
13,0.0309343,0.0137061,0,0,2962,781,1202,0.749215,0.791357,0.711335,0.760413,0.337676,0.0256413,0.0144626,0,0,0.00914058,0.00914058,0.00914058,0.0825482,0.091847,0.0709976,0.000415414,0.131427,0.359335,0.197726,0.276932,0.554381,0.98073
14,0.0304843,0.0136647,0,0,2949,880,1215,0.737964,0.770201,0.708317,0.724838,0.319448,0.0259559,0.0160215,0,0,0.00899716,0.00899716,0.00899716,0.0909856,0.0957755,0.0853592,0.000228867,0.135009,0.406865,0.212392,0.322866,0.549752,0.967653
15,0.0299153,0.0134695,0,0,3015,871,1149,0.749073,0.775864,0.724071,0.752485,0.326934,0.0257276,0.014552,0,0,0.00884415,0.00884415,0.00884415,0.088168,0.0911104,0.0852688,0.000439636,0.11685,0.336504,0.184812,0.28544,0.551683,0.976632
16,0.0296163,0.0132947,0,0,2941,898,1223,0.734934,0.765997,0.706292,0.725379,0.324073,0.0259345,0.0162315,0,0,0.00868198,0.00868198,0.00868198,0.093157,0.0967355,0.0833285,0.000170752,0.12901,0.375986,0.200725,0.334046,0.586769,0.969718
17,0.0290171,0.0130608,0,0,2883,753,1281,0.739223,0.792886,0.692363,0.733723,0.323253,0.0260082,0.0158286,0,0,0.00851109,0.00851109,0.00851109,0.083549,0.0851329,0.0824457,0.00269981,0.127637,0.387977,0.205368,0.297585,0.543591,0.973847
18,0.0288664,0.0129976,0,0,3000,835,1164,0.750155,0.782291,0.720556,0.744272,0.335582,0.0257438,0.0156979,0,0,0.00833194,0.00833194,0.00833194,0.0706974,0.0801446,0.0552934,0.00389207,0.115379,0.355922,0.187168,0.263516,0.522844,0.973847
19,0.0285762,0.0128139,0,0,2909,812,1255,0.737843,0.781749,0.698607,0.730221,0.316739,0.0262432,0.0159885,0,0,0.00814503,0.00814503,0.00814503,0.0822949,0.0869139,0.0765308,0.00041539,0.122641,0.359633,0.191929,0.305234,0.565113,0.971094
20,0.0282544,0.0127768,0,0,3014,872,1150,0.748822,0.77561,0.723823,0.742105,0.332142,0.0259615,0.0153496,0,0,0.00795088,0.00795088,0.00795088,0.0855673,0.0886028,0.0830309,0.00228563,0.123995,0.341976,0.188722,0.316142,0.58443,0.971074
21,0.0278564,0.0127073,0,0,2925,800,1239,0.741585,0.785338,0.70245,0.726962,0.322699,0.0262016,0.0162595,0,0,0.00775,0.00775,0.00775,0.0774658,0.0786527,0.0762531,0.00133153,0.117193,0.361312,0.186248,0.282576,0.532607,0.970386
22,0.0276301,0.0125233,0,0,2905,791,1259,0.739115,0.785959,0.69754,0.724007,0.31479,0.0263389,0.0163985,0,0,0.00754296,0.00754296,0.00754296,0.092495,0.10198,0.0749382,0.000448596,0.126808,0.350167,0.189191,0.331503,0.567512,0.96903
23,0.0270855,0.0122832,0,0,2894,681,1270,0.747896,0.809501,0.695005,0.729848,0.320134,0.0260992,0.0160001,0,0,0.00733031,0.00733031,0.00733031,0.0820514,0.0924148,0.0646068,9.67328e-05,0.117101,0.343913,0.185021,0.302353,0.578085,0.970406
24,0.027038,0.0122498,0,0,2893,746,1271,0.741475,0.794986,0.694713,0.730471,0.326651,0.0259736,0.0161039,0,0,0.00711266,0.00711266,0.00711266,0.0874732,0.0952759,0.0741899,0.000170752,0.127899,0.34353,0.186721,0.307385,0.570882,0.964187
